LOT_ID,CURRENT_CATEGORY,NEW_UGANDA_CATEGORY,NOTES
LOT_001,Computers | Monitors | Office | Peripherals,Laptops & Computers,Surface Go 3 tablet/laptop
LOT_002,Computers | Monitors | Office | Peripherals,Laptops & Computers,Surface Studio 2 all-in-one
LOT_003,Computers | Monitors | Office | Peripherals,Laptops & Computers,Mini PC
LOT_066,Computers | Monitors | Office | Peripherals,Laptops & Computers,Surface Go 2
LOT_113,Computers | Monitors | Office | Peripherals,Laptops & Computers,Google Pixelbook
LOT_065,Computers | Monitors | Office | Peripherals,Laptops & Computers,MeLE Mini PC
LOT_111,State-of-the-Art,Laptops & Computers,Khadas VIM4 single board
LOT_120,Computers | Monitors | Office | Peripherals,Laptops & Computers,Mac Mini M4
LOT_005,Computers | Monitors | Office | Peripherals,Monitors & Displays,OLED portable 18.5in x2
LOT_006,Computers | Monitors | Office | Peripherals,Monitors & Displays,OLED portable 18.5in x2
LOT_011,Computers | Monitors | Office | Peripherals,Monitors & Displays,Packard Bell 27in
LOT_045,Computers | Monitors | Office | Peripherals,Monitors & Displays,Frunsi dual portable
LOT_047,Computers | Monitors | Office | Peripherals,Monitors & Displays,Geminos dual 28in 4K
LOT_070,Computers | Monitors | Office | Peripherals,Monitors & Displays,AYY 15.6in portable
LOT_117,Computers | Monitors | Office | Peripherals,Monitors & Displays,Virzen OLED split
LOT_038,Computers | Monitors | Office | Peripherals,Monitors & Displays,Wemax Dice projector
LOT_039,Computers | Monitors | Office | Peripherals,Monitors & Displays,Wemax Go projector
LOT_078,Computers | Monitors | Office | Peripherals,Monitors & Displays,Dell 22in monitor
LOT_004,Photography | Videography | Related,Phones & Tablets Accessories,Moment lens kit
LOT_019,Photography | Videography | Related,Phones & Tablets Accessories,ShiftCam ProGrip
LOT_020,Photography | Videography | Related,Phones & Tablets Accessories,ShiftCam SnapGrip
LOT_086,Photography | Videography | Related,Phones & Tablets Accessories,DJI Osmo gimbal
LOT_044,Photography | Videography | Related,Phones & Tablets Accessories,FeiyuTech gimbal
LOT_123,Photography | Videography | Related,Phones & Tablets Accessories,Moment lens package
LOT_101,Photography | Videography | Related,Phones & Tablets Accessories,Moment 37mm filters
LOT_102,Photography | Videography | Related,Phones & Tablets Accessories,Moment filter mount
LOT_103,Photography | Videography | Related,Phones & Tablets Accessories,Moment pouches x2
LOT_104,Photography | Videography | Related,Phones & Tablets Accessories,Moment telephoto 58mm
LOT_105,Photography | Videography | Related,Phones & Tablets Accessories,Moment camera case
LOT_106,Photography | Videography | Related,Phones & Tablets Accessories,Moment 10x macro
LOT_107,Photography | Videography | Related,Phones & Tablets Accessories,Moment lens roll
LOT_109,Photography | Videography | Related,Phones & Tablets Accessories,Moment remote
LOT_009,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,NuPhy keyboard (tablet compatible)
LOT_017,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,Satechi USB-C dock
LOT_053,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,INVZI MagHub
LOT_055,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,IOGEAR USB hub
LOT_067,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,Anker Thunderbolt dock
LOT_088,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,Doqo iPad hub
LOT_124,Computers | Monitors | Office | Peripherals,Phones & Tablets Accessories,Plugable dual screen hub
LOT_073,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Bose soundbar
LOT_074,Studio | Party | Music,Audio & Music Equipment,Boss loop station
LOT_080,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet Mania
LOT_081,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet Phantom #1
LOT_082,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet Phantom #2
LOT_083,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet remote
LOT_084,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet case #1
LOT_085,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Devialet case duo
LOT_131,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Sony portable theater
LOT_033,Studio | Party | Music,Audio & Music Equipment,Fishman amp
LOT_026,Studio | Party | Music,Audio & Music Equipment,TC Helicon processor
LOT_097,Studio | Party | Music,Audio & Music Equipment,VocoPro karaoke
LOT_031,Studio | Party | Music,Audio & Music Equipment,Traveler Guitar
LOT_071,Audiophile | Hi-Fidelity | Sound,Audio & Music Equipment,Beyerdynamic headphones
LOT_130,Photography | Videography | Related,Audio & Music Equipment,Shure mic kit
LOT_127,Computers | Monitors | Office | Peripherals,Audio & Music Equipment,AirPods Pro 2 Lightning
LOT_128,Computers | Monitors | Office | Peripherals,Audio & Music Equipment,AirPods Pro 2 USB-C
LOT_021,Photography | Videography | Related,Photo & Video Cameras,Sony Cyber-shot
LOT_049,Photography | Videography | Related,Photo & Video Cameras,GoPro HERO7
LOT_052,Photography | Videography | Related,Photo & Video Cameras,DJI Pocket 2
LOT_132,State-of-the-Art,Photo & Video Cameras,Insta360 ONE X2
LOT_108,Photography | Videography | Related,Photo & Video Cameras,Insta360 Link webcam
LOT_116,Photography | Videography | Related,Photo & Video Cameras,Sony Cybershot bundle
LOT_036,Security | Data | Surveillance,Security & Surveillance,Jinxnobi wall safe
LOT_037,Security | Data | Surveillance,Security & Surveillance,Stealth wall safe
LOT_050,Security | Data | Surveillance,Security & Surveillance,SentrySafe fireproof
LOT_068,Motorcycle | Camping | Outdoor,Security & Surveillance,GPS dog tracker
LOT_094,Security | Data | Surveillance,Security & Surveillance,Ledger crypto wallet
LOT_062,Security | Data | Surveillance,Security & Surveillance,Lumary security camera
LOT_018,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Sena helmet
LOT_024,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,SteelMate brake light
LOT_025,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,SteelMate TPMS
LOT_091,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,KEMIMOTO backpack
LOT_098,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Dainese backpack
LOT_099,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Dainese pants XL
LOT_100,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Dainese jacket XL
LOT_118,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,KLIM jeans
LOT_010,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,OneWheel V1
LOT_014,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Pit Boss Grill
LOT_016,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,HOTO flashlight
LOT_027,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Thule backpack
LOT_072,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,BigBlue solar charger
LOT_075,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Bushnell night vision
LOT_035,Motorcycle | Camping | Outdoor,Motorcycle & Outdoor,Waeco refrigerator
LOT_007,State-of-the-Art,Premium Tech,Plaud AI Note
LOT_015,State-of-the-Art,Premium Tech,Plaud AI Note
LOT_028,State-of-the-Art,Premium Tech,TimeKettle earbuds
LOT_069,State-of-the-Art,Premium Tech,Apple Watch Ultra 2
LOT_077,State-of-the-Art,Premium Tech,CMF Watch Pro
LOT_040,State-of-the-Art,Premium Tech,XREAL Air gen 1
LOT_041,State-of-the-Art,Premium Tech,XREAL Air 2
LOT_042,State-of-the-Art,Premium Tech,XREAL Beam gen 1
LOT_043,State-of-the-Art,Premium Tech,XREAL Beam Pro
LOT_030,Computers | Monitors | Office | Peripherals,Premium Tech,XIAOMI 5G routers
LOT_064,Computers | Monitors | Office | Peripherals,Premium Tech,PrinCube printer
LOT_129,Computers | Monitors | Office | Peripherals,Premium Tech,Samsung Tab S3
LOT_112,Jewelery | Bags | Leather,Fashion & Accessories,Vintage watches
LOT_114,Jewelery | Bags | Leather,Fashion & Accessories,Piquadro messenger
LOT_115,Jewelery | Bags | Leather,Fashion & Accessories,Paravel duffle
LOT_046,Computers | Monitors | Office | Peripherals,Gaming & Entertainment,GameSir controller
LOT_087,Computers | Monitors | Office | Peripherals,Gaming & Entertainment,Vizio 50in TV
LOT_119,Motorcycle | Camping | Outdoor,Gaming & Entertainment,JOOLA ping pong
LOT_126,Computers | Monitors | Office | Peripherals,Gaming & Entertainment,Vehicle entertainment
LOT_061,Computers | Monitors | Office | Peripherals,Gaming & Entertainment,Logitech keyboard
LOT_125,Computers | Monitors | Office | Peripherals,Gaming & Entertainment,Anker Nebula projector
