LOT,OFFICIAL_NAME,COOLNESS_RATING,TAGLINE,DESCRIPTION,SPECIFICATIONS,PRICE,CATEGORY,PRICE ESTIMATE HYPERLINKS,SUBCATEGORY
LOT_001,Microsoft Surface Go 3 - 10.5_ Touchscreen - Intel® Core™ i3 - 8GB Memory - 128GB SSD,4 Stars,A tablet that thinks it's a laptop with just enough Intel to open seventeen browser tabs before crying. Bonus: now you can be unproductive in 10.5 glorious touchscreen inches.,"The Microsoft Surface Go 3 is a versatile 2-in-1 device that combines the portability of a tablet with the productivity of a laptop. Featuring a 10.5-inch touchscreen, Intel Core i3 processor, and full Windows 11 experience, it's perfect for students, professionals, and anyone needing computing power on the go.","Display | 10.5-inch PixelSense touchscreen (1920 x 1280) | Processor | Intel Core i3-10100Y (dual-core, up to 3.9GHz) | Memory | 8GB LPDDR3 RAM | Storage | 128GB SSD | Graphics | Intel UHD Graphics 615 | Camera | 8MP rear, 5MP front with Windows Hello face sign-in | Ports | USB-C, 3.5mm headphone jack, Surface Connect, microSDXC | Battery Life | Up to 11 hours | Weight | 1.2 lbs (tablet only) | OS | Windows 11 Home | Accessories | Compatible with Surface Pen and Type Cover (sold separately)",$350.00,Laptops,https://www.amazon.com/s?k=Microsoft+Surface+Go+3,Portable Workstations
LOT_002,Microsoft Surface Studio 2 All-in-One Desktop,7 stars,"A 28-inch easel disguised as a desktop, for artists who'd rather buy the canvas than fill it. Bonus: it tilts flat so you can ignore unfinished projects horizontally.","The Microsoft Surface Studio 2 is a premium all-in-one desktop computer featuring a stunning 28-inch PixelSense touchscreen that transforms into a digital canvas. Designed for creative professionals, it combines powerful performance with innovative design, including the unique Zero Gravity Hinge and Surface Dial compatibility.","Display | 28-inch PixelSense touchscreen (4500 x 3000, 192 PPI) | Processor | 7th Gen Intel Core i7-7820HQ | Graphics | NVIDIA GeForce GTX 1070 (8GB GDDR5) | Memory | 16GB or 32GB RAM | Storage | 1TB or 2TB SSD | Hinge | Zero Gravity Hinge (20° to near-flat positioning) | Inputs | Surface Pen and touch support, Surface Dial compatibility | Ports | 4x USB 3.0, USB-C, SD card reader, 3.5mm audio | Connectivity | Wi-Fi 802.11ac, Bluetooth 4.0, Gigabit Ethernet | Dimensions | 25.1"" x 17.3"" x 12.5""","$4,000.00",Desktops,https://www.microsoft.com/en-us/d/surface-studio-2/8vlfqc3597k4,Coolest Gadgets
LOT_003,Minisforum EliteMini UM773 SE Mini PC (Ryzen 7 7735HS),3 Stars,A Ryzen 7 powerhouse small enough to lose behind the monitor it's powering. Bonus: more cores than you have hobbies to justify them.,"The Minisforum EliteMini UM773 SE is a powerful compact desktop computer featuring AMD Ryzen 7 7735HS processor with integrated Radeon 680M graphics. This mini PC delivers exceptional performance for gaming, content creation, and professional work in an ultra-compact form factor with extensive connectivity options.","Processor | AMD Ryzen 7 7735HS (8-core, 16-thread, up to 4.75GHz) | Memory | 16GB DDR5-4800 (expandable to 64GB) | Storage | 512GB PCIe 4.0 NVMe SSD | Graphics | AMD Radeon 680M integrated | Ports | 2x HDMI 2.1, 1x DisplayPort 1.4, 4x USB 3.2, 2x USB 2.0, USB-C | Networking | Wi-Fi 6E, Bluetooth 5.3, 2.5G Ethernet | Audio | 3.5mm combo jack | Power | 120W power adapter | Dimensions | 5.0"" x 5.0"" x 2.0"" | OS | Windows 11 Pro",$550.00,Micro Computers,https://store.minisforum.com/products/minisforum-um773-lite,Portable Workstations
LOT_004,Moment M-Series Professional Mobile Lens Kit,3 Stars,"Pro-grade glass that clips onto the phone you already overpaid for. Bonus: your Instagram still looks the same, but now it's expensively the same.","The Moment M-Series Professional Mobile Lens Kit is a comprehensive smartphone photography system featuring premium glass lenses and accessories. This complete kit transforms iPhone photography with telephoto, macro, wide-angle, and anamorphic capabilities, plus professional filters and protective cases for serious mobile photographers.","Lenses Included | 58mm Telephoto, 10x Macro, 18mm Wide, 1.33x Anamorphic | Adapter | 67mm mobile lens mounting system | Filters | 67mm filter bundle (ND, CPL, various densities) | Case | iPhone 13 compatible mounting case | Glass Quality | Cinema-grade glass elements | Construction | Aerospace-grade metal housing | Compatibility | iPhone 13 series (with case system) | Mounting | Bayonet lens mount system | Accessories | Lens caps, cleaning cloth, carrying case | Professional Features | Manual focus, enhanced image quality",$300.00,Cameras,https://www.shopmoment.com/products/m-series-lens-kit,
LOT_005,Motyeowe OLED Monitors 18.5in - X2,4 Stars,"Two tiny OLED panels for the desk setup nobody asked you to build. Bonus: twice the screens, twice the excuses not to look at people.","The Motyeowe portable OLED monitors deliver stunning visual quality with true blacks and vibrant colors in an ultra-portable 18.5-inch design. This 2-pack offers dual-screen productivity solutions with USB-C connectivity, making them perfect for mobile professionals, gamers, and content creators who need additional screen real estate.","Display | 18.5-inch OLED panel (2-pack) | Resolution | 1920 x 1080 Full HD per monitor | Color Accuracy | 100% sRGB, 99% Adobe RGB | Contrast Ratio | 100,000 | 1 (true OLED blacks) | Response Time | 1ms | Refresh Rate | 60Hz | Connectivity | USB-C (single cable for power and data) | Compatibility | Windows, macOS, Android, gaming consoles | Design | Ultra-slim profile, lightweight | Stand | Adjustable kickstand included | Weight | 1.8 lbs per monitor | Package | 2 monitors included",$150.00,Portable Ultra-Thin Laptop Monitors,https://www.amazon.com/s?k=Motyeowe+OLED+Monitor+18.5,Portable Workstations
LOT_006,"SOTSU UltraSlim 12.5"" Portable Monitor - Ultra-Thin Lightweight Aluminum Design",5 Stars,"An aluminum slab thinner than your patience, ready to give your laptop a second wind. Bonus: now you carry two screens to do one person's job.","Ultra-thin 12.5"" FHD portable monitor with premium aluminum unibody design. At just 4mm thin and under 1lb, it's the minimalist's dream—elegant enough for a design studio, practical enough for airport terminals. USB-C powered, VESA mountable, and suspiciously easier to justify than therapy.","Display: 12.5"" IPS FHD (1920×1080) | Thickness: 4mm | Weight: <1lb | Connectivity: USB-C (power + video) | Brightness: 300 nits | Aspect Ratio: 16:9 | Mount: VESA 75mm | Materials: Aluminum unibody | Includes: USB-C cable, protective case",$149.00,Portable Ultra-Thin Laptop Monitors,https://www.amazon.com/s?k=SOTSU+12.5+portable+monitor,Portable Workstations
LOT_007,Anker Nebula Capsule Smart Wi-Fi Mini Projector,4 Stars,A soda-can projector beaming Netflix onto any wall or willing ceiling. Bonus: a portable cinema mostly used for falling asleep mid-movie.,"The Anker Nebula Capsule is a pocket-sized smart projector that fits in a cup holder and fills a wall. Running Android, it streams Netflix, YouTube, and everything else directly — no laptop required. The 360-degree speaker means audio actually keeps up with the picture. Perfect for backyard movie nights, hotel room upgrades, or convincing your friends that your apartment is bigger than it is.","Form Factor | Soda can-sized cylindrical projector | OS | Android 7.1 (app-enabled) | Resolution | 854 x 480 (WVGA) | Brightness | 100 ANSI lumens | Projection Size | Up to 100 inches | Speaker | 360-degree 4W speaker | Battery | Up to 4 hours playback | Connectivity | Wi-Fi 802.11 b/g/n, Bluetooth 4.0, HDMI, USB-A | Autofocus | Manual focus | Weight | 454g | Dimensions | 68 x 68 x 148mm",$150.00,Audio/Video,https://www.amazon.com/Anker-Nebula-Capsule-Projector/dp/B07B6SH1SV,
LOT_008,"EHOMEWEI X1 Foldable Dual Screen Portable Monitor 16""×2 - Magnetic Alignment Travel Workstation",5 Stars,"One screen was never enough. Two screens felt excessive. This foldable dual 16"" fortress makes 'excessive' look like efficiency.","Revolutionary foldable dual 16"" FHD displays that collapse into laptop-bag-sized portability. Magnetic alignment, auto-rotation, and the smug satisfaction of unfolding 32"" of workspace anywhere. Perfect for traders, developers, and people who refuse to choose between mobility and productivity. USB-C powered, kickstand included.","Displays: Dual 16"" IPS FHD (1920×1080 each) | Total Screen: 32"" | Connectivity: USB-C×2 (power + video) | Brightness: 300 nits | Refresh: 60Hz | Features: Magnetic alignment, auto-rotation, 180° hinge | Weight: 3.5lbs | Includes: Dual USB-C cables, adjustable kickstand, travel case",$399.00,Portable Ultra-Thin Laptop Monitors,https://www.amazon.com/s?k=EHOMEWEI+X1+dual+portable+monitor,Portable Workstations
LOT_009,NuPhy Air75 Wireless Mechanical Keyboard + NuFolio Cover,5 Stars,A low-profile mechanical keyboard that clacks just loud enough for the office to notice. Bonus: the folio cover protects keys you'll rebind and never touch.,"The NuPhy Air75 is the mechanical keyboard that refused to accept the trade-off between slim design and actual typing satisfaction. At just 16mm at its thinnest point, it looks like a membrane keyboard but types like the real thing — Gateron low-profile mechanical switches, hot-swappable so you can change the feel without soldering, and tri-mode wireless so it connects to up to four devices simultaneously. The bundled NuFolio V2 cover doubles as a stand for your tablet or phone, and magnetically attaches to the keyboard back. The kind of desk setup that makes people stop mid-conversation to ask what keyboard that is.","Layout | 75% compact (84 keys) | Switches | Gateron Low-Profile 2.0 (hot-swappable, Red/Brown/Blue options) | Keycaps | Ultra-thin PBT spherical COAST keycaps (4.6mm, dye-sublimated) | Frame | Ultra-thin aluminum alloy (16mm at thinnest) | Connectivity | 2.4G wireless (low-latency), Bluetooth 5.0, USB-C wired | Multi-Device | Connect up to 4 devices simultaneously | Battery | 2500mAh, up to 48 hours continuous use | Backlight | 21+ RGB effects + dual side RGB light bars | Compatibility | Mac and Windows (dedicated shortcut layouts) | Bundle | Keyboard + NuFolio V2 protective cover/stand | In Box | USB-C cable, 2.4G dongle, keycap puller, 3 extra switches, magnetic feet",$150.00,Peripherals,https://www.amazon.com/s?k=NuPhy+Air75,Coolest Gadgets
LOT_010,OneWheel V1 Self-Balancing Electric Skateboard,6 stars,"One fat tire, zero stability promises, and a learning curve measured in bruises. Bonus: you'll master the dismount right after the emergency-room paperwork.","The original Onewheel is a revolutionary self-balancing electric skateboard that delivers a unique riding experience combining elements of snowboarding, skateboarding, and surfing. With its distinctive single wheel design and intuitive balance-based controls, it offers an exciting and eco-friendly way to commute and explore.","Motor | Custom brushless hub motor | Top Speed | 12 mph (19 km/h) | Range | 4-6 miles per charge | Battery | Lithium Iron Phosphate (LiFePO4) | Charge Time | 20 minutes for 50% charge | Weight | 25 lbs (11.3 kg) | Max Rider Weight | 250 lbs (113 kg) | Tire | 11.5 x 6.5-6 Vega tire | Dimensions | 27"" x 10.5"" x 10.5"" | App Connectivity | Onewheel mobile app via Bluetooth | Features | LED headlight, power button, charge port",$800.00,Gadgets,https://onewheel.com,Coolest Gadgets
